2025-10-04 15:39:28 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 15:39:28 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 15:39:28 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 15:39:34 | ERROR | S3Loader | Failed to upload bytes to S3: An error occurred (AccessDenied) when calling the CreateMultipartUpload operation: User: arn:aws:iam::835223785924:user/airflow-iptu-user is not authorized to perform: s3:PutObject on resource: "arn:aws:s3:::iptu-recife-raw/year=2020/iptu_2020.zip" because no identity-based policy allows the s3:PutObject action
2025-10-04 15:42:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 15:42:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 15:42:58 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 15:43:04 | ERROR | S3Loader | Failed to upload bytes to S3: An error occurred (AccessDenied) when calling the CreateMultipartUpload operation: User: arn:aws:iam::835223785924:user/airflow-iptu-user is not authorized to perform: s3:PutObject on resource: "arn:aws:s3:::iptu-recife-raw/year=2020/iptu_2020.zip" because no identity-based policy allows the s3:PutObject action
2025-10-04 15:47:13 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 15:47:13 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 15:47:13 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 15:47:25 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 15:49:22 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 15:49:22 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 15:49:22 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 15:49:33 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 15:49:38 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (0 records)
2025-10-04 15:49:51 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2020/iptu_invalid_2020.parquet (403915 records)
2025-10-04 15:50:02 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 15:50:07 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (0 records)
2025-10-04 15:50:21 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2021/iptu_invalid_2021.parquet (407245 records)
2025-10-04 15:50:31 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 15:50:38 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (0 records)
2025-10-04 15:50:48 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2022/iptu_invalid_2022.parquet (411090 records)
2025-10-04 15:50:56 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 15:51:03 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (0 records)
2025-10-04 15:51:14 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-quality/year=2023/iptu_invalid_2023.parquet (415029 records)
2025-10-04 15:51:15 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 15:57:05 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 15:57:05 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 15:57:05 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 15:57:14 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 15:58:09 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 15:58:09 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 15:58:09 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 15:58:19 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 15:58:35 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (403915 records)
2025-10-04 15:58:43 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 15:58:58 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (407245 records)
2025-10-04 15:59:11 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 15:59:26 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (411090 records)
2025-10-04 15:59:34 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:03:00 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:03:00 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:03:00 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:03:13 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:03:31 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (403915 records)
2025-10-04 16:03:44 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:04:02 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (407245 records)
2025-10-04 16:04:10 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:04:29 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (411090 records)
2025-10-04 16:04:36 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:04:53 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (415029 records)
